pin,slack
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:EN,13140
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:Q,16874
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:ALn,16528
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:CLK,13184
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:D,17754
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:EN,13361
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:Q,13184
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPB,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[2]:A,12204
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[2]:B,11064
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[2]:C,17510
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[2]:D,11078
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[2]:Y,11064
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_data_out_dx_31:A,14129
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_data_out_dx_31:B,12947
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_data_out_dx_31:C,13993
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_data_out_dx_31:D,13901
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_data_out_dx_31:Y,12947
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:A,12388
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:B,11092
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:C,12553
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:Y,11092
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTI00:ALn,16528
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTI00:CLK,17472
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTI00:D,16343
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTI00:EN,18370
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTI00:Q,17472
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_30:C,8812
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_30:IPC,8812
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:ALn,15560
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:CLK,18668
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:Q,18668
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[19]:A,17651
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[19]:B,17561
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[19]:C,12060
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[19]:D,12006
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv_0[19]:Y,12006
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/full_out_2_2:A,9971
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/full_out_2_2:B,10084
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/full_out_2_2:C,9819
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/full_out_2_2:D,9700
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/full_out_2_2:Y,9700
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:A,12368
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:B,11612
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:C,12006
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:D,8802
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:Y,8802
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQS_0_PAD/U_IOINFF:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQS_0_PAD/U_IOINFF:Y,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[4]:A,17651
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[4]:B,17561
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[4]:C,12060
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[4]:D,12006
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[4]:Y,12006
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[22]:A,17651
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[22]:B,17561
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[22]:C,12060
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[22]:D,12006
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PrdataNext_1_0_iv[22]:Y,12006
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_274:B,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_274:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_274:IPB,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_245:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/un1_mtx_alldone_2_sqmuxa_2_i_0_0_a2_0:A,16295
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/un1_mtx_alldone_2_sqmuxa_2_i_0_0_a2_0:B,16316
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/un1_mtx_alldone_2_sqmuxa_2_i_0_0_a2_0:Y,16295
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/SYNC3_stxp_strobetx:ALn,16528
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/SYNC3_stxp_strobetx:CLK,11483
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/SYNC3_stxp_strobetx:D,18652
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/SYNC3_stxp_strobetx:Q,11483
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_246:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_246:IPB,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/LoadEnReg:ALn,16528
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/LoadEnReg:CLK,15491
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/LoadEnReg:D,13261
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/LoadEnReg:Q,15491
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/CoreAPB3_C0_0_APBmslave6_PRDATA_m_cZ[3]:A,12600
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/CoreAPB3_C0_0_APBmslave6_PRDATA_m_cZ[3]:B,10703
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/CoreAPB3_C0_0_APBmslave6_PRDATA_m_cZ[3]:C,12248
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/CoreAPB3_C0_0_APBmslave6_PRDATA_m_cZ[3]:D,10344
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/CoreAPB3_C0_0_APBmslave6_PRDATA_m_cZ[3]:Y,10344
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/FIC_2_APB_M_PRDATA[13]:ALn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/FIC_2_APB_M_PRDATA[13]:CLK,75896
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/FIC_2_APB_M_PRDATA[13]:D,35323
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/FIC_2_APB_M_PRDATA[13]:EN,78386
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/FIC_2_APB_M_PRDATA[13]:Q,75896
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTOOII[1]:ALn,16528
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTOOII[1]:CLK,14305
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTOOII[1]:D,14300
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTOOII[1]:EN,14499
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTOOII[1]:Q,14305
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_93:IPA,
SD_SDO_obuf/U0/U_IOOUTFF:A,
SD_SDO_obuf/U0/U_IOOUTFF:Y,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQ_13_PAD/U_IOINFF:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQ_13_PAD/U_IOINFF:Y,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1[4]:ALn,16528
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1[4]:CLK,12592
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1[4]:D,17826
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1[4]:EN,13369
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1[4]:Q,12592
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_16:C,18774
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_16:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_16:IPC,18774
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/control1[1]:ALn,16528
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/control1[1]:CLK,10771
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/control1[1]:D,17929
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/control1[1]:EN,13361
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/control1[1]:Q,10771
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/fifo_mem_q_fifo_mem_q_0_0/CFG_15:C,17918
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/fifo_mem_q_fifo_mem_q_0_0/CFG_15:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/fifo_mem_q_fifo_mem_q_0_0/CFG_15:IPC,17918
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/next_state5:A,-2406
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/next_state5:B,-2426
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/next_state5:Y,-2426
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UTXF/full_out_2_0_a2_1:A,8656
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UTXF/full_out_2_0_a2_1:B,8632
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UTXF/full_out_2_0_a2_1:C,8686
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UTXF/full_out_2_0_a2_1:Y,8632
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNIVPGB5[3]:B,17269
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNIVPGB5[3]:C,14366
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNIVPGB5[3]:D,16912
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNIVPGB5[3]:FCI,14315
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNIVPGB5[3]:FCO,14315
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNIVPGB5[3]:S,14468
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/soft_reset_reg[11]:ALn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/soft_reset_reg[11]:CLK,76340
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/soft_reset_reg[11]:D,80594
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/soft_reset_reg[11]:EN,36134
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/soft_reset_reg[11]:Q,76340
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il[3]:ALn,16528
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il[3]:CLK,13723
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il[3]:D,13979
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il[3]:Q,13723
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/stxs_datareg_21_iv[6]:A,14214
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/stxs_datareg_21_iv[6]:B,13984
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/stxs_datareg_21_iv[6]:C,13069
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/stxs_datareg_21_iv[6]:Y,13069
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQ_15_PAD/U_IOINFF:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQ_15_PAD/U_IOINFF:Y,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PreScale_cry[6]:B,11003
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PreScale_cry[6]:C,17306
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PreScale_cry[6]:FCI,10918
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PreScale_cry[6]:FCO,10918
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/PreScale_cry[6]:S,10969
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS_8_.gpin3:ALn,16528
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS_8_.gpin3:CLK,14517
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS_8_.gpin3:D,18668
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS_8_.gpin3:Q,14517
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_161:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_161:IPB,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/DataOut_3_sqmuxa_0_a2:A,14325
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/DataOut_3_sqmuxa_0_a2:B,11384
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/DataOut_3_sqmuxa_0_a2:C,14262
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/DataOut_3_sqmuxa_0_a2:D,14132
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/DataOut_3_sqmuxa_0_a2:Y,11384
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr_cry[6]:B,17308
