pin,slack
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1_0_sqmuxa_1_0:A,15714
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1_0_sqmuxa_1_0:B,15221
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1_0_sqmuxa_1_0:C,15076
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1_0_sqmuxa_1_0:D,14914
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/control1_0_sqmuxa_1_0:Y,14914
User_Interfaces_0/COREGPIO_C1_0/COREGPIO_C1_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_32:C,
User_Interfaces_0/COREGPIO_C1_0/COREGPIO_C1_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_32:IPC,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:ADn,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:ALn,16179
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:CLK,18668
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:D,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:EN,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:LAT,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:Q,18668
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:SD,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:SLn,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:B,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:C,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPB,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:ADn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:ALn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:CLK,78062
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:D,80746
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:EN,77157
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:LAT,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:Q,78062
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:SD,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:SLn,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:B,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:C,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:IPB,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_133:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_133:B,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_133:C,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_133:IPA,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/wr_pointer_q_2[1]:A,17582
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/wr_pointer_q_2[1]:B,10238
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/wr_pointer_q_2[1]:C,9870
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/wr_pointer_q_2[1]:Y,9870
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_wr_pointer_q_1_CO2:A,16422
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_wr_pointer_q_1_CO2:B,16324
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_wr_pointer_q_1_CO2:C,15064
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/un1_wr_pointer_q_1_CO2:Y,15064
GPIO_1_LED1_obuft/U0/U_IOENFF:A,
GPIO_1_LED1_obuft/U0/U_IOENFF:Y,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:ADn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:ALn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:CLK,37186
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:D,35227
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:EN,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:LAT,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:Q,37186
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:SD,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:SLn,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/un3_busy_0_o2:A,8922
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/un3_busy_0_o2:B,8940
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/un3_busy_0_o2:Y,8922
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/counter_q_RNI7CQT3[5]:A,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/counter_q_RNI7CQT3[5]:B,13661
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/counter_q_RNI7CQT3[5]:C,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/counter_q_RNI7CQT3[5]:D,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/counter_q_RNI7CQT3[5]:FCI,11953
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/counter_q_RNI7CQT3[5]:S,11953
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_1:C,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_1:IPC,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:ADn,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:ALn,16179
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:CLK,16308
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:D,17772
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:EN,13362
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:LAT,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:Q,16308
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:SD,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTllll[4]:SLn,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_3:C,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_3:IPC,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:ADn,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:ALn,16179
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:CLK,15222
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:D,18660
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:EN,18378
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:LAT,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:Q,15222
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:SD,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTL10I[0]:SLn,
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:A,
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:B,
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:C,
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/FF_18:EN,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:A,11802
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:B,16486
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:C,13062
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:D,12911
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:FCI,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:FCO,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_spi_data_out_1_7_i_m2_i_m2_2_wmux_2:Y,11802
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/cuartliil_1_5_1_0[6]:A,16543
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/cuartliil_1_5_1_0[6]:B,16493
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/cuartliil_1_5_1_0[6]:C,15173
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/cuartliil_1_5_1_0[6]:D,14930
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/cuartliil_1_5_1_0[6]:Y,14930
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:ADn,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:ALn,16236
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:CLK,16397
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:D,17281
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:EN,18478
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:LAT,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:Q,16397
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:SD,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:SLn,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:ADn,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:ALn,16179
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:CLK,16874
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:D,17957
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:EN,13223
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:LAT,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:Q,16874
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:SD,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:SLn,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:ADn,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:ALn,16179
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:CLK,9840
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:D,17580
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:EN,13376
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:LAT,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:Q,9840
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:SD,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/CLK_DIV[7]:SLn,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:B,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:C,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_202:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:A,9787
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:B,8491
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:C,10086
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URF/rdata_sn_m13:Y,8491
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_30:C,6793
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_30:IPC,6793
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/FF_13:EN,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:ADn,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:ALn,17511
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:CLK,18668
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:D,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:EN,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:LAT,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:Q,18668
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:SD,
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/sm0_areset_n_q1:SLn,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_18:B,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_18:C,17701
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_18:IPB,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_reg_GEN_BITS_0_REG_GEN_CONFIG_reg_0_0/CFG_18:IPC,17701
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/msrxs_shiftreg_6_298_i_0:A,16471
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/msrxs_shiftreg_6_298_i_0:B,16380
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/msrxs_shiftreg_6_298_i_0:Y,16380
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:ADn,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:ALn,16179
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:CLK,13980
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:D,15206
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:EN,18378
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:LAT,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:Q,13980
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:SD,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTI0OL/CUARTLI0I[0]:SLn,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:A,10045
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:B,6783
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:C,10145
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/PRDDATA[0]:Y,6783
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQS_0_PAD/U_IOINFF:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MDDR_DQS_0_PAD/U_IOINFF:Y,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1il/CUARTl0ol/CUARTIOL0:ADn,
